pref_code,pref_name,official_list_url,format,machine_readable,notes,verified_at,dataset
01,北海道,,,,未調査(道の市町村リンク集はあるが所在地一覧は未確認),,
02,青森県,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,PDF,yes,青森県市町村ハンドブック(市町村課)。PDFだがテキスト抽出可,2026-07-06,aomori.csv
03,岩手県,,,,県公式の集約一覧なし(市町村プロフィールに住所・電話の記載なし),2026-07-06,iwate.csv
04,宮城県,https://www.pref.miyagi.jp/soshiki/sichouson/syozaiti.html,HTML,yes,市区役所・町村役場の所在地(市町村コード付き),2026-07-06,miyagi.csv
05,秋田県,https://www.pref.akita.lg.jp/pages/archive/91662,PDF,no,市町村要覧はあるがPDFの埋め込みフォントにToUnicodeが無くテキスト抽出不能,2026-07-06,akita.csv
06,山形県,,,,未調査,,
07,福島県,https://www.pref.fukushima.lg.jp/sec/01145a/yakuba.html,HTML,yes,市役所・町村役場一覧,2026-07-06,fukushima.csv
08,茨城県,https://www.pref.ibaraki.jp/towns/,HTML,yes,市町村ページ(所在地・電話・リンク),2026-07-06,ibaraki.csv
09,栃木県,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,HTML,yes,市町一覧(所在地・電話・リンク),2026-07-06,tochigi.csv
10,群馬県,https://www.pref.gunma.jp/page/14524.html,HTML,yes,市町村一覧(所在地・電話・リンク),2026-07-06,gunma.csv
11,埼玉県,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,Excel,yes,市町村データ(ファイルURLに年度が入るためリンクは動的に解決が必要),2026-07-05,saitama.csv
12,千葉県,https://www.pref.chiba.lg.jp/kouhou/ichiran.html,HTML,yes,市町村一覧,2026-07-05,chiba.csv
13,東京都,https://www.metro.tokyo.lg.jp/tosei/iken-sodan/sodan/ichiran,HTML,yes,区市町村の窓口一覧,2026-07-05,tokyo.csv
14,神奈川県,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,HTML,yes,市町村の連絡先一覧,2026-07-05,kanagawa.csv
15,新潟県,,,,県公式の統合一覧なし(各市町村公式サイトから個別収集=岩手方式),2026-07-06,niigata.csv
16,富山県,https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html,HTML,yes,市町村の概要(所在地・電話。市町村要覧PDFあり),2026-07-07,toyama.csv
17,石川県,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,HTML,yes,県内市町一覧(所在地・電話),2026-07-07,ishikawa.csv
18,福井県,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html,HTML,yes,市町連絡先一覧(同内容のPDF併載),2026-07-07,fukui.csv
19,山梨県,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,Excel,yes,市町村事務所の位置・電話(添付xlsx。名称行と値行が結合セルで1行ずれる点に注意),2026-07-06,yamanashi.csv
20,長野県,https://www.pref.nagano.lg.jp/shichoson/kensei/shichoson/gappei/gappei/mejiiko/ichiran/index.html,HTML,yes,市町村一覧(役場所在地・電話番号等),2026-07-06,nagano.csv
21,岐阜県,https://www.pref.gifu.lg.jp/page/6058.html,HTML,yes,市町村一覧(所在地・電話・リンク),2026-07-07,gifu.csv
22,静岡県,https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,HTML,yes,県内市町の紹介(所在地・電話。政令市の区は各市サイトから),2026-07-07,shizuoka.csv
23,愛知県,https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,HTML,yes,市町村の概要(所在地・電話。名古屋市16区の個別URLは無く市サイトで補完),2026-07-07,aichi.csv
24,三重県,https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,HTML,yes,市町一覧(所在地・電話),2026-07-07,mie.csv
